height,birth year,tallest/shortest in the family,sport,husband's height
163,1993,0,0,173
162,1970,1,1,172
160,1970,1,0,180
160,1968,1,0,180
156,1981,1,1,164
149,1965,1,1,177
158,1970,0,1,173
160,1971,1,1,165
155,1972,0,1,175
160,1969,0,1,165
160,1969,0,1,165
165,1971,1,0,164
165,1971,1,0,172
163,1974,0,0,162
155,1958,0,0,170
155,2002,0,1,180
158,1970,0,1,175
161,1968,0,1,172
163,1970,0,1,170
152,1984,0,1,151
156,1973,0,1,168
170,2021,0,1,173
152,1973,1,1,157
160,1971,1,1,165
160,1974,1,1,174
162,1966,1,1,176
153,1985,1,1,161
158,2021,1,0,165
157,1986,0,1,170
156,1995,1,1,166
163,1969,1,0,176
155,1995,1,1,165
156,1976,0,0,169
157,1975,0,0,180
158,1965,2,0,168
165,1963,1,1,168
152,1961,1,1,167
160,1980,1,0,163
152,1976,1,0,167
153,1998,0,1,168
158,1998,1,0,176
158,1990,1,1,168
150,1977,1,1,170
155,2001,0,0,176
155,1967,1,0,165
155,1970,0,1,178
155,1957,1,1,165
155,1970,0,1,178
155,1957,1,1,165
165,1963,1,1,168
163,1963,1,0,175
149,1970,0,0,175
164,1967,1,1,172
160,1963,1,1,180
158,1970,1,1,170
147,1965,0,1,157
158,1976,0,0,174
160,1965,1,0,172
156,1997,1,1,165
160,1969,0,1,165
162,1973,2,0,161
154,1957,0,1,167
155,1968,0,1,168
158,1963,0,0,165
158,1967,0,1,170
163,1995,2,1,165
155,1993,0,1,174
155,1993,0,1,174
163,1973,1,1,170
161,2003,2,1,155
165,1998,1,1,180
164,1987,0,0,168
153,1985,0,0,173
150,1986,0,1,170
153,2001,0,1,160
151,1982,0,1,160
160,1985,0,1,171
172,1980,1,1,172
156,1989,1,0,165
155,1977,0,0,170
163,2003,2,0,180
167,1966,1,1,173
158,1998,1,1,173
160,1996,1,1,172
153,1995,0,1,173
150,1999,0,1,169
155,1976,0,0,165
155,1997,1,1,170
150,1970,1,1,160
165,1973,1,0,170
160,1967,1,1,178
165,1980,1,1,170
150,1964,0,0,165
168,1994,1,1,173
164,1989,1,1,183
158,1992,1,1,165
154,1994,0,1,170
167,1989,1,1,183
162,1990,1,1,163
155,1989,0,1,174
156,1989,1,1,170
160,1989,1,1,169
155,1990,1,1,174
160,1990,1,0,174
173,1985,1,0,172
162,1990,1,1,163
156,1989,0,1,178
162,1987,2,0,188
162,1987,0,0,172
160,1999,1,0,180
155,1986,1,0,176
150,2001,1,0,178
160,2001,1,0,177
164,1997,1,0,174
160,2001,1,0,170
156,1994,1,1,173
156,1975,0,0,171
164,1976,1,1,180
150,1989,0,0,170
156,1986,1,1,168
145,1963,0,1,170
166,1995,1,1,177
155,1990,1,1,165
160,2001,1,0,178
153,1994,2,0,169
149,1993,0,1,170
155,1972,1,1,165
160,1996,0,1,171
158,1998,0,1,170
161,1996,1,0,166
150,1971,0,0,167
